PWM,RPM
188.541,1500.0
188.637,1470.0
188.829,1470.0
189.021,1470.0
189.213,1470.0
189.309,1500.0
189.501,1440.0
189.789,1470.0
189.885,1500.0
189.981,1470.0
190.269,1440.0
190.557,1470.0
190.749,1470.0
190.845,1500.0
191.037,1440.0
191.325,1470.0
191.421,1500.0
191.517,1470.0
191.709,1470.0
191.901,1470.0
191.997,1500.0
192.093,1470.0
192.285,1470.0
192.381,1500.0
192.477,1470.0
192.573,1500.0
192.669,1470.0
192.765,1500.0
192.765,1500.0
192.765,1500.0
192.861,1470.0
193.053,1470.0
193.149,1500.0
193.149,1500.0
193.245,1470.0
193.437,1470.0
193.533,1500.0
193.533,1500.0
193.629,1470.0
193.725,1500.0
193.821,1470.0
193.917,1500.0
193.917,1500.0
193.917,1500.0
194.013,1470.0
194.109,1500.0
194.109,1500.0
194.205,1470.0
194.301,1500.0
194.301,1500.0
194.301,1500.0
194.397,1470.0
194.493,1500.0
194.589,1470.0
194.781,1470.0
194.877,1500.0
194.973,1470.0
195.165,1470.0
195.357,1470.0
195.549,1470.0
195.837,1440.0
196.125,1470.0
196.413,1440.0
196.797,1440.0
197.181,1440.0
197.565,1440.0
198.045,1410.0
198.621,1410.0
199.197,1410.0
199.869,1380.0
200.541,1410.0
201.213,1380.0
201.981,1380.0
202.749,1380.0
203.421,1410.0
204.093,1380.0
204.765,1410.0
205.341,1410.0
205.917,1410.0
206.397,1440.0
206.877,1410.0
207.357,1440.0
207.741,1440.0
208.029,1470.0
208.317,1440.0
208.605,1470.0
208.797,1470.0
208.989,1470.0
209.181,1470.0
209.277,1500.0
209.277,1500.0
209.277,1500.0
209.277,1500.0
209.181,1530.0
202.941,1500.0
202.845,1530.0
202.845,1470.0
202.941,1500.0
202.941,1500.0
202.941,1500.0
203.037,1470.0
203.133,1500.0
203.133,1500.0
203.133,1500.0
203.133,1500.0
203.133,1500.0
203.133,1500.0
203.037,1530.0
202.941,1500.0
202.941,1500.0
202.941,1500.0
202.941,1500.0
202.941,1500.0
202.941,1500.0
202.941,1500.0
202.845,1530.0
202.845,1470.0
202.845,1530.0
202.749,1500.0
202.653,1530.0
202.653,1470.0
202.653,1530.0
202.557,1500.0
202.461,1530.0
202.365,1500.0
202.365,1500.0
202.269,1530.0
202.173,1500.0
202.173,1500.0
202.173,1500.0
202.077,1530.0
201.885,1530.0
201.885,1470.0
201.885,1530.0
201.789,1500.0
201.789,1500.0
201.789,1500.0
201.885,1470.0
201.981,1500.0
201.981,1500.0
202.077,1470.0
202.269,1470.0
202.365,1500.0
202.461,1470.0
202.653,1470.0
202.845,1470.0
203.037,1470.0
203.229,1470.0
203.517,1440.0
203.901,1440.0
204.381,1410.0
204.861,1440.0
205.341,1410.0
205.917,1410.0
206.397,1440.0
206.781,1440.0
207.261,1410.0
207.837,1410.0
208.413,1410.0
208.893,1440.0
209.373,1410.0
210.045,1380.0
210.717,1410.0
211.293,1410.0
211.773,1440.0
212.349,1380.0
213.021,1410.0
213.597,1410.0
214.077,1440.0
214.557,1410.0
215.229,1380.0
215.805,1440.0
216.285,1410.0
216.861,1410.0
217.533,1380.0
218.205,1410.0
218.685,1440.0
219.165,1410.0
219.933,1350.0
220.701,1410.0
221.277,1410.0
221.853,1410.0
222.429,1410.0
223.101,1380.0
223.773,1410.0
224.253,1440.0
224.829,1380.0
225.501,1410.0
225.981,1440.0
226.365,1440.0
226.749,1440.0
227.229,1410.0
227.709,1440.0
227.997,1470.0
228.285,1440.0
228.861,1380.0
229.437,1440.0
229.821,1440.0
230.493,1350.0
232.125,1140.0
235.005,960.0
238.557,930.0
242.397,870.0
247.005,690.0
252.477,600.0
258.333,570.0
265.149,300.0
273.597,60.0
283.005,0.0
292.605,0.0
302.205,0.0
311.805,0.0
321.404,0.0
331.004,0.0
340.604,0.0
350.204,0.0
359.804,0.0
369.404,0.0
379.004,0.0
388.604,0.0
398.204,0.0
407.804,0.0
417.404,0.0
427.004,0.0
436.604,0.0
446.204,0.0
455.804,0.0
465.404,0.0
475.004,0.0
484.604,0.0
494.204,0.0
503.708,30.0
513.212,0.0
522.812,0.0
532.316,30.0
541.724,30.0
551.036,60.0
560.156,90.0
569.18,90.0
578.108,120.0
586.94,120.0
595.58,180.0
604.028,180.0
612.38,210.0
620.54,240.0
628.508,270.0
636.284,300.0
643.868,330.0
651.26,360.0
658.268,450.0
664.892,480.0
671.324,510.0
677.468,570.0
683.324,600.0
688.988,630.0
694.46,660.0
699.74,690.0
704.828,720.0
709.82,720.0
714.716,750.0
719.516,750.0
724.22,780.0
728.924,750.0
733.628,780.0
738.236,780.0
742.844,780.0
747.356,810.0
751.868,780.0
756.38,810.0
760.892,780.0
765.403,810.0
769.819,810.0
774.331,780.0
778.843,810.0
783.259,810.0
787.675,810.0
792.091,810.0
796.507,810.0
800.923,810.0
805.435,780.0
809.947,810.0
814.363,810.0
818.778,810.0
823.194,810.0
827.61,810.0
832.026,810.0
836.442,810.0
840.954,780.0
845.466,810.0
849.882,810.0
854.298,810.0
858.714,810.0
863.13,810.0
867.642,780.0
872.153,810.0
876.665,780.0
881.177,810.0
885.689,780.0
890.201,810.0
894.713,780.0
899.321,780.0
903.833,810.0
908.345,780.0
912.953,780.0
