Tempo (s),PWM,RPM
5.349,255.0,1890.0
5.359,255.0,1890.0
5.369,255.0,1920.0
5.379,255.0,1890.0
5.389,255.0,1890.0
5.399,255.0,1890.0
5.409,255.0,1890.0
5.42,255.0,1890.0
5.429,255.0,1890.0
5.439,255.0,1920.0
5.449,255.0,1890.0
5.459,255.0,1890.0
5.469,255.0,1890.0
5.479,255.0,1890.0
5.489,255.0,1890.0
5.499,255.0,1890.0
5.509,255.0,1890.0
5.519,255.0,1890.0
5.529,255.0,1890.0
5.539,255.0,1860.0
5.549,255.0,1920.0
5.559,255.0,1890.0
5.569,255.0,1890.0
5.579,255.0,1890.0
5.59,255.0,1890.0
5.599,255.0,1890.0
5.609,255.0,1890.0
5.619,255.0,1890.0
5.629,255.0,1890.0
5.639,255.0,1890.0
5.649,255.0,1890.0
5.659,255.0,1890.0
5.669,255.0,1890.0
5.679,255.0,1890.0
5.689,255.0,1860.0
5.699,255.0,1890.0
5.709,255.0,1860.0
5.719,255.0,1890.0
5.729,255.0,1890.0
5.739,255.0,1860.0
5.749,255.0,1890.0
5.76,255.0,1860.0
5.769,255.0,1890.0
5.779,255.0,1860.0
5.789,255.0,1890.0
5.799,255.0,1860.0
5.809,255.0,1860.0
5.819,255.0,1860.0
5.829,255.0,1890.0
5.839,255.0,1860.0
5.849,255.0,1860.0
5.859,255.0,1890.0
5.869,255.0,1860.0
5.879,255.0,1890.0
5.889,255.0,1860.0
5.899,255.0,1890.0
5.909,255.0,1860.0
5.919,255.0,1890.0
5.929,255.0,1890.0
5.939,255.0,1860.0
5.949,255.0,1890.0
5.959,255.0,1890.0
5.969,255.0,1860.0
5.979,255.0,1890.0
5.989,255.0,1860.0
5.999,255.0,1890.0
6.009,255.0,1890.0
6.019,255.0,1860.0
6.029,255.0,1860.0
6.039,255.0,1890.0
6.049,255.0,1890.0
6.06,255.0,1890.0
6.069,255.0,1860.0
6.079,255.0,1890.0
6.089,255.0,1890.0
6.099,255.0,1860.0
6.109,255.0,1890.0
6.119,255.0,1890.0
6.129,255.0,1860.0
6.139,255.0,1860.0
6.149,255.0,1890.0
6.159,255.0,1890.0
6.169,255.0,1890.0
6.179,255.0,1860.0
6.189,255.0,1890.0
6.199,255.0,1890.0
6.209,255.0,1860.0
6.219,255.0,1890.0
6.23,255.0,1890.0
6.239,255.0,1860.0
6.249,255.0,1890.0
6.259,255.0,1890.0
6.269,255.0,1890.0
6.279,255.0,1890.0
6.289,255.0,1890.0
6.299,255.0,1890.0
6.309,255.0,1890.0
6.319,255.0,1890.0
6.329,255.0,1890.0
6.339,255.0,1890.0
6.349,255.0,1890.0
6.359,255.0,1890.0
6.369,255.0,1890.0
6.379,255.0,1890.0
6.389,255.0,1890.0
6.4,255.0,1860.0
6.409,255.0,1890.0
6.419,255.0,1890.0
6.429,255.0,1860.0
6.439,255.0,1890.0
6.449,255.0,1860.0
6.459,255.0,1890.0
6.469,255.0,1860.0
6.479,255.0,1860.0
6.489,255.0,1890.0
6.499,255.0,1860.0
6.509,255.0,1860.0
6.519,255.0,1860.0
6.789,255.0,1860.0
6.799,255.0,1860.0
6.809,255.0,1860.0
6.819,255.0,1860.0
6.829,255.0,1860.0
6.839,255.0,1860.0
6.849,255.0,1830.0
6.859,255.0,1860.0
6.87,255.0,1860.0
6.879,255.0,1860.0
6.889,255.0,1830.0
6.899,255.0,1860.0
6.909,255.0,1860.0
6.919,255.0,1830.0
6.929,255.0,1860.0
6.939,255.0,1860.0
6.949,255.0,1830.0
6.959,255.0,1860.0
6.969,255.0,1860.0
6.979,255.0,1830.0
6.989,255.0,1860.0
6.999,255.0,1830.0
7.009,255.0,1860.0
7.019,255.0,1830.0
7.029,255.0,1860.0
7.04,255.0,1830.0
7.049,255.0,1830.0
7.059,255.0,1860.0
7.069,255.0,1830.0
7.079,255.0,1830.0
7.089,255.0,1830.0
7.099,255.0,1830.0
7.109,255.0,1830.0
7.119,255.0,1830.0
7.129,255.0,1830.0
7.139,255.0,1830.0
7.149,255.0,1830.0
7.159,255.0,1830.0
7.169,255.0,1830.0
7.179,255.0,1830.0
7.189,255.0,1830.0
7.199,255.0,1830.0
7.209,255.0,1830.0
7.219,255.0,1830.0
7.229,255.0,1830.0
7.239,255.0,1830.0
7.249,255.0,1830.0
7.259,255.0,1830.0
7.269,255.0,1830.0
7.279,255.0,1830.0
7.289,255.0,1830.0
7.299,255.0,1800.0
7.309,255.0,1830.0
7.319,255.0,1830.0
7.329,255.0,1830.0
7.34,255.0,1830.0
7.349,255.0,1830.0
7.359,255.0,1800.0
7.369,255.0,1830.0
7.379,255.0,1830.0
7.389,255.0,1800.0
7.399,255.0,1830.0
7.409,255.0,1830.0
7.419,255.0,1830.0
7.429,255.0,1800.0
7.439,255.0,1830.0
7.449,255.0,1830.0
7.459,255.0,1800.0
7.469,255.0,1830.0
7.479,255.0,1830.0
7.489,255.0,1800.0
7.499,255.0,1830.0
7.51,255.0,1800.0
7.519,255.0,1800.0
7.529,255.0,1800.0
7.539,255.0,1800.0
7.549,255.0,1830.0
7.559,255.0,1770.0
7.569,255.0,1800.0
7.579,255.0,1800.0
7.589,255.0,1800.0
7.599,255.0,1800.0
7.609,255.0,1800.0
7.619,255.0,1800.0
7.629,255.0,1770.0
7.639,255.0,1800.0
7.649,255.0,1770.0
7.659,255.0,1800.0
7.669,255.0,1770.0
7.68,255.0,1800.0
7.689,255.0,1770.0
7.699,255.0,1800.0
7.709,255.0,1770.0
7.719,255.0,1800.0
7.729,255.0,1770.0
7.739,255.0,1800.0
7.749,255.0,1770.0
7.759,255.0,1800.0
7.769,255.0,1770.0
7.779,255.0,1800.0
7.789,255.0,1800.0
7.799,255.0,1770.0
7.809,255.0,1800.0
7.819,255.0,1770.0
7.829,255.0,1800.0
7.839,255.0,1770.0
7.849,255.0,1800.0
7.859,255.0,1770.0
7.869,255.0,1800.0
7.879,255.0,1800.0
7.889,255.0,1770.0
7.899,255.0,1800.0
7.909,255.0,1800.0
7.919,255.0,1800.0
7.929,255.0,1770.0
7.939,255.0,1800.0
7.949,255.0,1800.0
7.959,255.0,1800.0
7.969,255.0,1800.0
7.98,255.0,1770.0
7.989,255.0,1800.0
7.999,255.0,1800.0
8.009,255.0,1800.0
8.019,255.0,1800.0
8.029,255.0,1770.0
8.039,255.0,1800.0
8.049,255.0,1800.0
8.059,255.0,1770.0
8.069,255.0,1800.0
8.079,255.0,1800.0
8.089,255.0,1770.0
8.099,255.0,1800.0
8.109,255.0,1770.0
8.119,255.0,1800.0
8.129,255.0,1800.0
8.139,255.0,1800.0
